date,rat_name,rat_ID,DOB,Sex,weight,Genotype,HL_date,invalid,file_name,experiment,phase,task,detail,stim_type,analysis_type,complete_block_count,trial_count,hit_percent,FA_percent,UUID,block_size,line,genotype
2024-08-13,Purple1,559,20231117,Male,495.0,LE,,,8kHz_70dB_24kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),23.0,359,0.807799442896936,0.125348189415042,20240813110703_70.7739975303411_1.50763376921118,15,SD,WT
2024-08-14,Purple1,559,20231117,Male,499.0,LE,,,8kHz_70dB_12kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),23.0,346,0.667630057803468,0.167630057803468,20240814110913_154.77999933064_1.34354738562879,15,SD,WT
2024-08-15,Purple1,559,20231117,Male,494.0,LE,,,32kHz_70dB_6kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),24.0,365,0.843835616438356,0.101369863013699,20240815110828_74.1479985415936_1.38116432227016,15,SD,WT
2024-08-16,Purple1,559,20231117,Male,488.0,LE,,,8kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 2,train,Oddball (Standard),23.0,347,0.84149855907781,0.106628242074928,20240816111109_156.458998471498_1.31066135778349,15,SD,WT
2024-08-17,Purple1,559,20231117,Male,492.0,LE,,,8kHz_70dB_6kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),24.0,369,0.777777777777778,0.124661246612466,20240817111617_219.00900118053_1.43530538555968,15,SD,WT
2024-08-20,Purple1,559,20231117,Male,486.0,LE,,,4kHz_70dB_6kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),24.0,373,0.64343163538874,0.246648793565684,20240820111252_150.075005739927_1.44116918608817,15,SD,WT
2024-08-21,Purple1,559,20231117,Male,489.0,LE,,,16kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 2,train,Oddball (Standard),22.0,336,0.916666666666667,0.0565476190476191,20240821111133_195.426992699504_1.4794601126573,15,SD,WT
2024-08-22,Purple1,559,20231117,Male,504.0,LE,,,32kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 2,train,Oddball (Standard),25.0,389,0.90745501285347,0.0411311053984576,20240822111042_178.625997528434_1.2999114223125,15,SD,WT
2024-08-23,Purple1,559,20231117,Male,509.0,LE,,,8kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 2,train,Oddball (Standard),20.0,302,0.870860927152318,0.0894039735099338,20240823112631_205.077000707388_1.192079826857,15,SD,WT
2024-08-24,Purple1,559,20231117,Male,507.0,LE,,,16kHz_70dB_6kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),18.0,271,0.749077490774908,0.177121771217712,20240824110516_437.649004161358_1.40310899972378,15,SD,WT
2024-08-26,Purple1,559,20231117,Male,510.0,LE,,,32kHz_70dB_24kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),17.0,255,0.772549019607843,0.137254901960784,20240826113217_467.841004952788_1.76934874270175,15,SD,WT
2024-08-27,Purple1,559,20231117,Male,509.0,LE,,,4kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 2,train,Oddball (Standard),20.0,301,0.813953488372093,0.142857142857143,20240827112809_151.251995936036_1.90295683953426,15,SD,WT
2024-08-28,Purple1,559,20231117,Male,501.0,LE,,,4kHz_70dB_6kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),20.0,310,0.670967741935484,0.225806451612903,20240828111409_150.668001919985_1.80103285550425,15,SD,WT
2024-08-29,Purple1,559,20231117,Male,502.0,LE,,,4kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 2,train,Oddball (Standard),21.0,320,0.803125,0.13125,20240829113006_204.599000886083_1.92338607741521,15,SD,WT
2024-08-30,Purple1,559,20231117,Male,494.0,LE,,,4kHz_70dB_12kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),18.0,283,0.448763250883392,0.402826855123675,20240830110834_253.510000929236_1.25526182200256,15,SD,WT
2024-08-31,Purple1,559,20231117,Male,486.0,LE,,,16kHz_70dB_6kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),23.0,359,0.805013927576602,0.153203342618384,20240831112510_2.72299870848656_1.79129889052698,15,SD,WT
2024-09-02,Purple1,559,20231117,Male,501.0,LE,,,32kHz_70dB_6kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),23.0,350,0.865714285714286,0.0771428571428571,20240902111701_66.6610043495893_1.53043208691115,15,SD,WT
2024-09-03,Purple1,559,20231117,Male,493.0,LE,,,8kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 2,train,Oddball (Standard),23.0,353,0.875354107648725,0.0594900849858357,20240903111615_273.750999569893_1.35975658724957,15,SD,WT
2024-09-04,Purple1,559,20231117,Male,497.0,LE,,,16kHz_70dB_24kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),20.0,312,0.532051282051282,0.352564102564103,20240904112312_110.069992393255_1.35958186894964,15,SD,WT
